date,symbol,marketcapname,sector
16-01-2025 1:00 pm,LUPIN,Largecap,Pharmaceuticals
16-01-2025 1:00 pm,PIDILITIND,Largecap,Industrials
16-01-2025 1:00 pm,TORNTPHARM,Largecap,Pharmaceuticals
16-01-2025 1:00 pm,ABBOTINDIA,Largecap,Pharmaceuticals
16-01-2025 1:00 pm,ASIANPAINT,Largecap,Industrials
16-01-2025 1:00 pm,HCLTECH,Largecap,I.T
16-01-2025 1:00 pm,JUBLFOOD,Largecap,Quick Service Restaurant
16-01-2025 1:15 pm,JUBLFOOD,Largecap,Quick Service Restaurant
16-01-2025 2:15 pm,IGL,Largecap,Industrials
16-01-2025 2:45 pm,HINDPETRO,Largecap,Industrials
16-01-2025 2:45 pm,IGL,Largecap,Industrials
16-01-2025 3:00 pm,IGL,Largecap,Industrials
17-01-2025 9:15 am,INFY,Largecap,I.T
17-01-2025 9:15 am,M&M,Largecap,Auto
17-01-2025 9:15 am,WIPRO,Largecap,I.T
17-01-2025 9:15 am,MAXHEALTH,Largecap,Pharmaceuticals
17-01-2025 9:15 am,AXISBANK,Largecap,Bank
17-01-2025 9:15 am,TCS,Largecap,I.T
17-01-2025 9:15 am,VBL,Largecap,FMCG
17-01-2025 9:30 am,INFY,Largecap,I.T
17-01-2025 9:30 am,MAXHEALTH,Largecap,Pharmaceuticals
17-01-2025 9:30 am,AXISBANK,Largecap,Bank
17-01-2025 9:30 am,VBL,Largecap,FMCG
17-01-2025 10:00 am,AXISBANK,Largecap,Bank
17-01-2025 10:30 am,KALYANKJIL,Largecap,Miscellaneous
17-01-2025 10:45 am,INFY,Largecap,I.T
17-01-2025 10:45 am,M&M,Largecap,Auto
17-01-2025 10:45 am,AXISBANK,Largecap,Bank
17-01-2025 10:45 am,KALYANKJIL,Largecap,Miscellaneous
17-01-2025 11:00 am,M&M,Largecap,Auto
17-01-2025 11:00 am,MAXHEALTH,Largecap,Pharmaceuticals
17-01-2025 11:15 am,KALYANKJIL,Largecap,Miscellaneous
17-01-2025 11:15 am,VBL,Largecap,FMCG
17-01-2025 11:30 am,MAXHEALTH,Largecap,Pharmaceuticals
17-01-2025 11:45 am,MAXHEALTH,Largecap,Pharmaceuticals
17-01-2025 1:15 pm,SUPREMEIND,Largecap,FMCG
17-01-2025 2:00 pm,WIPRO,Largecap,I.T
17-01-2025 3:00 pm,SUPREMEIND,Largecap,FMCG
17-01-2025 3:00 pm,KALYANKJIL,Largecap,Miscellaneous
20-01-2025 9:15 am,VOLTAS,Largecap,FMCG
20-01-2025 9:15 am,SUPREMEIND,Largecap,FMCG
20-01-2025 9:15 am,SHRIRAMFIN,Midcap,Finance
20-01-2025 9:15 am,TCS,Largecap,I.T
20-01-2025 9:30 am,M&M,Largecap,Auto
20-01-2025 9:30 am,VOLTAS,Largecap,FMCG
20-01-2025 9:30 am,SUPREMEIND,Largecap,FMCG
20-01-2025 9:45 am,VOLTAS,Largecap,FMCG
20-01-2025 9:45 am,SUPREMEIND,Largecap,FMCG
20-01-2025 10:00 am,VOLTAS,Largecap,FMCG
20-01-2025 10:15 am,VOLTAS,Largecap,FMCG
20-01-2025 10:30 am,SUPREMEIND,Largecap,FMCG
20-01-2025 11:45 am,VOLTAS,Largecap,FMCG
20-01-2025 12:00 pm,VOLTAS,Largecap,FMCG
20-01-2025 12:15 pm,VOLTAS,Largecap,FMCG
20-01-2025 12:30 pm,VOLTAS,Largecap,FMCG
20-01-2025 3:00 pm,SUPREMEIND,Largecap,FMCG
21-01-2025 9:15 am,TRENT,Largecap,FMCG
21-01-2025 9:15 am,CDSL,Largecap,Financial Services
21-01-2025 9:15 am,DIXON,Largecap,FMCG
21-01-2025 9:15 am,OBEROIRLTY,Largecap,Realty
21-01-2025 9:15 am,PRESTIGE,Largecap,Realty
21-01-2025 9:15 am,MCX,Largecap,Financial Services
21-01-2025 9:15 am,KALYANKJIL,Largecap,Miscellaneous
21-01-2025 9:15 am,ZOMATO,Largecap,I.T
21-01-2025 9:30 am,TRENT,Largecap,FMCG
21-01-2025 9:30 am,CDSL,Largecap,Financial Services
21-01-2025 9:30 am,DIXON,Largecap,FMCG
21-01-2025 9:30 am,MCX,Largecap,Financial Services
21-01-2025 9:30 am,VBL,Largecap,FMCG
21-01-2025 9:45 am,TRENT,Largecap,FMCG
21-01-2025 9:45 am,CDSL,Largecap,Financial Services
21-01-2025 9:45 am,DIXON,Largecap,FMCG
21-01-2025 9:45 am,SBILIFE,Largecap,Services
21-01-2025 9:45 am,OBEROIRLTY,Largecap,Realty
21-01-2025 9:45 am,MCX,Largecap,Financial Services
21-01-2025 9:45 am,KALYANKJIL,Largecap,Miscellaneous
21-01-2025 9:45 am,POLICYBZR,Largecap,I.T
21-01-2025 9:45 am,VBL,Largecap,FMCG
21-01-2025 10:00 am,CESC,Midcap,Miscellaneous
21-01-2025 10:00 am,HEROMOTOCO,Largecap,Auto
21-01-2025 10:00 am,TRENT,Largecap,FMCG
21-01-2025 10:00 am,VOLTAS,Largecap,FMCG
21-01-2025 10:00 am,JIOFIN,Largecap,Finance
21-01-2025 10:00 am,NIFTY,Smallcap,Indices
21-01-2025 10:00 am,CDSL,Largecap,Financial Services
21-01-2025 10:00 am,DIXON,Largecap,FMCG
21-01-2025 10:00 am,SBILIFE,Largecap,Services
21-01-2025 10:00 am,OBEROIRLTY,Largecap,Realty
21-01-2025 10:00 am,PRESTIGE,Largecap,Realty
21-01-2025 10:00 am,SONACOMS,Largecap,Auto
21-01-2025 10:00 am,POLICYBZR,Largecap,I.T
21-01-2025 10:00 am,VBL,Largecap,FMCG
21-01-2025 10:15 am,BATAINDIA,Midcap,FMCG
21-01-2025 10:15 am,CESC,Midcap,Miscellaneous
21-01-2025 10:15 am,HEROMOTOCO,Largecap,Auto
21-01-2025 10:15 am,TRENT,Largecap,FMCG
21-01-2025 10:15 am,M&M,Largecap,Auto
21-01-2025 10:15 am,BOSCHLTD,Largecap,Auto
21-01-2025 10:15 am,VOLTAS,Largecap,FMCG
21-01-2025 10:15 am,JIOFIN,Largecap,Finance
21-01-2025 10:15 am,NIFTY,Smallcap,Indices
21-01-2025 10:15 am,CDSL,Largecap,Financial Services
21-01-2025 10:15 am,DIXON,Largecap,FMCG
21-01-2025 10:15 am,SBILIFE,Largecap,Services
21-01-2025 10:15 am,ICICIBANK,Largecap,Bank
21-01-2025 10:15 am,AXISBANK,Largecap,Bank
21-01-2025 10:15 am,IGL,Largecap,Industrials
21-01-2025 10:15 am,TCS,Largecap,I.T
21-01-2025 10:15 am,COFORGE,Largecap,I.T
21-01-2025 10:15 am,ASTRAL,Largecap,FMCG
21-01-2025 10:15 am,OBEROIRLTY,Largecap,Realty
21-01-2025 10:15 am,PRESTIGE,Largecap,Realty
21-01-2025 10:15 am,MCX,Largecap,Financial Services
21-01-2025 10:15 am,SONACOMS,Largecap,Auto
21-01-2025 10:15 am,ZOMATO,Largecap,I.T
21-01-2025 10:15 am,POLICYBZR,Largecap,I.T
21-01-2025 10:15 am,VBL,Largecap,FMCG
21-01-2025 10:30 am,CESC,Midcap,Miscellaneous
21-01-2025 10:30 am,MRF,Largecap,Auto
21-01-2025 10:30 am,PIDILITIND,Largecap,Industrials
21-01-2025 10:30 am,BOSCHLTD,Largecap,Auto
21-01-2025 10:30 am,CDSL,Largecap,Financial Services
21-01-2025 10:30 am,DIXON,Largecap,FMCG
21-01-2025 10:30 am,MCX,Largecap,Financial Services
21-01-2025 10:30 am,ZOMATO,Largecap,I.T
21-01-2025 10:30 am,POLICYBZR,Largecap,I.T
21-01-2025 10:30 am,VBL,Largecap,FMCG
21-01-2025 10:45 am,CIPLA,Largecap,Pharmaceuticals
21-01-2025 10:45 am,TRENT,Largecap,FMCG
21-01-2025 10:45 am,MRF,Largecap,Auto
21-01-2025 10:45 am,BOSCHLTD,Largecap,Auto
21-01-2025 10:45 am,VOLTAS,Largecap,FMCG
21-01-2025 10:45 am,JIOFIN,Largecap,Finance
21-01-2025 10:45 am,CDSL,Largecap,Financial Services
21-01-2025 10:45 am,ICICIBANK,Largecap,Bank
21-01-2025 10:45 am,AXISBANK,Largecap,Bank
21-01-2025 10:45 am,OBEROIRLTY,Largecap,Realty
21-01-2025 10:45 am,POLICYBZR,Largecap,I.T
21-01-2025 11:00 am,TRENT,Largecap,FMCG
21-01-2025 11:00 am,MRF,Largecap,Auto
21-01-2025 11:00 am,M&M,Largecap,Auto
21-01-2025 11:00 am,BOSCHLTD,Largecap,Auto
21-01-2025 11:00 am,VOLTAS,Largecap,FMCG
21-01-2025 11:00 am,ICICIBANK,Largecap,Bank
21-01-2025 11:00 am,AXISBANK,Largecap,Bank
21-01-2025 11:00 am,OBEROIRLTY,Largecap,Realty
21-01-2025 11:15 am,BOSCHLTD,Largecap,Auto
21-01-2025 11:15 am,ICICIBANK,Largecap,Bank
21-01-2025 11:15 am,AXISBANK,Largecap,Bank
21-01-2025 11:15 am,COFORGE,Largecap,I.T
21-01-2025 11:15 am,OBEROIRLTY,Largecap,Realty
21-01-2025 11:30 am,KALYANKJIL,Largecap,Miscellaneous
21-01-2025 12:00 pm,PRESTIGE,Largecap,Realty
21-01-2025 12:15 pm,HEROMOTOCO,Largecap,Auto
21-01-2025 12:15 pm,PIDILITIND,Largecap,Industrials
21-01-2025 12:15 pm,M&M,Largecap,Auto
21-01-2025 12:15 pm,JIOFIN,Largecap,Finance
21-01-2025 12:15 pm,ICICIBANK,Largecap,Bank
21-01-2025 12:15 pm,IGL,Largecap,Industrials
21-01-2025 12:15 pm,TCS,Largecap,I.T
21-01-2025 12:15 pm,COFORGE,Largecap,I.T
21-01-2025 12:15 pm,PRESTIGE,Largecap,Realty
21-01-2025 12:30 pm,CESC,Midcap,Miscellaneous
21-01-2025 12:30 pm,JIOFIN,Largecap,Finance
